wavelength_nm,relative_sensitivity
430.0,0.6179
435.0,0.6341
440.0,0.6748
445.0,0.6992
450.0,0.7236
455.0,0.7398
460.0,0.7602
465.0,0.7805
470.0,0.7967
475.0,0.8211
480.0,0.8374
485.0,0.8496
490.0,0.8659
495.0,0.8740
500.0,0.8902
505.0,0.9024
510.0,0.9146
515.0,0.9268
520.0,0.9390
525.0,0.9431
530.0,0.9553
535.0,0.9634
540.0,0.9715
545.0,0.9797
550.0,0.9919
555.0,0.9959
560.0,1.0000
565.0,1.0000
705.0,1.0000
710.0,1.0000
715.0,1.0000
720.0,0.9959
725.0,0.9919
730.0,0.9878
735.0,0.9797
740.0,0.9675
745.0,0.9634
750.0,0.9553
755.0,0.9431
760.0,0.9431
765.0,0.9390
770.0,0.9309
775.0,0.9228
780.0,0.9146
785.0,0.9024
800.0,0.8862
805.0,0.8740
810.0,0.8659
815.0,0.8537
820.0,0.8415
825.0,0.8374
830.0,0.8333
835.0,0.8211
845.0,0.8171
850.0,0.8008
855.0,0.7967
860.0,0.7886
865.0,0.7805
870.0,0.7724
875.0,0.7642
890.0,0.7195
895.0,0.7033
900.0,0.6870
905.0,0.6707
910.0,0.6545
915.0,0.6382
925.0,0.8984
930.0,0.8740
935.0,0.9024
940.0,0.5732
945.0,0.5610
950.0,0.5488
955.0,0.8902
960.0,0.8943
965.0,0.8943
970.0,0.5000
975.0,0.4919
980.0,0.8821
985.0,0.4675
990.0,0.4593
995.0,0.4472
1000.0,0.4309
