wavelength_nm,relative_sensitivity
425.0,0.6179
430.0,0.6341
435.0,0.6463
440.0,0.6585
445.0,0.6789
450.0,0.6911
455.0,0.7033
460.0,0.7195
465.0,0.7358
470.0,0.7398
475.0,0.7683
480.0,0.7764
485.0,0.7886
490.0,0.8049
495.0,0.8211
500.0,0.8293
505.0,0.8415
510.0,0.8577
515.0,0.8821
520.0,0.8943
525.0,0.9106
530.0,0.9228
535.0,0.9350
540.0,0.9431
545.0,0.9553
550.0,0.9634
555.0,0.9675
560.0,0.9797
565.0,0.9797
570.0,0.9878
575.0,0.9919
580.0,0.9959
585.0,1.0000
590.0,1.0000
670.0,0.0244
725.0,1.0000
730.0,1.0000
735.0,0.9959
740.0,0.9878
745.0,0.9797
750.0,0.9756
755.0,0.9715
760.0,0.9634
765.0,0.9593
770.0,0.9431
775.0,0.9309
780.0,0.9228
785.0,0.9146
790.0,0.9065
795.0,0.8862
800.0,0.8699
805.0,0.8618
810.0,0.8537
815.0,0.8374
820.0,0.8333
825.0,0.8252
830.0,0.8171
835.0,0.8130
840.0,0.8049
845.0,0.7927
850.0,0.7886
855.0,0.7846
860.0,0.7805
865.0,0.7724
870.0,0.7602
875.0,0.7561
880.0,0.7561
885.0,0.7398
890.0,0.7276
895.0,0.7236
900.0,0.7114
905.0,0.7033
910.0,0.6951
915.0,0.6870
920.0,0.6748
925.0,0.9593
930.0,0.9715
935.0,0.9797
940.0,0.9715
945.0,0.9756
950.0,0.6260
955.0,0.9756
960.0,0.9675
965.0,0.9634
970.0,0.9756
975.0,0.5854
980.0,0.9837
985.0,0.9837
990.0,0.9634
995.0,0.9837
1000.0,0.9837
