# Mode: Calibration
# Date: 2026-03-11 21:43:45
# Reference source: FL12
# Sensitivity correction: off
# Gain: 10.0
# Exposure: 10000
pixel,intensity,reference_wavelength,reference_intensity,calibrated_wavelength,calibrated_intensity
0,0.06304985284805298,392.226299,0.001772014122039445,392.226299,0.06304985284805298
1,0.06282486766576767,392.441389,0.0017572833265216646,392.441389,0.06282486766576767
2,0.06263867020606995,392.656668,0.001742539587025305,392.656668,0.06263867020606995
3,0.06260763853788376,392.872137,0.0017277828350637078,392.872137,0.06260763853788376
4,0.06222730502486229,393.087795,0.0017154695342761121,393.087795,0.06222730502486229
5,0.0625,393.303643,0.0017067259850585164,393.303643,0.0625
6,0.06253316253423691,393.51968,0.001697974779847805,393.51968,0.06253316253423691
7,0.06250359117984772,393.735907,0.0016892158781360766,393.735907,0.06250359117984772
8,0.06256109476089478,393.952324,0.0016804492799233327,393.952324,0.06256109476089478
9,0.06266636401414871,394.168932,0.001676046279352568,394.168932,0.06266636401414871
10,0.06316622346639633,394.38573,0.0016728741771260501,394.38573,0.06316622346639633
11,0.062426261603832245,394.602718,0.001669699294894999,394.602718,0.062426261603832245
12,0.06420079618692398,394.819897,0.001666521618027809,394.819897,0.06420079618692398
13,0.06210492178797722,395.037267,0.0016641443790502905,395.037267,0.06210492178797722
14,0.0621785894036293,395.254827,0.0016656502967354054,395.254827,0.0621785894036293
15,0.062410712242126465,395.472579,0.0016671575434157198,395.472579,0.062410712242126465
16,0.06239108741283417,395.690523,0.0016686661190912333,395.690523,0.06239108741283417
17,0.06190940737724304,395.908657,0.001670176009918246,395.908657,0.06190940737724304
18,0.06222272291779518,396.126983,0.0016745096134972374,396.126983,0.06222272291779518
19,0.06279703974723816,396.345501,0.0016808790459428822,396.345501,0.06279703974723816
20,0.06283830106258392,396.564211,0.0016872540748658392,396.564211,0.06283830106258392
21,0.0626412183046341,396.783113,0.0016936347002661108,396.783113,0.0626412183046341
22,0.06190941110253334,397.002208,0.00170006661075191,397.002208,0.06190941110253334
23,0.06237923353910446,397.221494,0.0017109930669341469,397.221494,0.06237923353910446
24,0.06199515610933304,397.440973,0.0017219291398089351,397.440973,0.06199515610933304
25,0.0618673712015152,397.660645,0.0017328748293762774,397.660645,0.0618673712015152
26,0.06222273036837578,397.88051,0.001743830135636174,397.88051,0.06222273036837578
27,0.06263092160224915,398.100567,0.001756719030164427,398.100567,0.06263092160224915
28,0.06268587708473206,398.320818,0.001771907354033696,398.320818,0.06268587708473206
29,0.062531478703022,398.541262,0.0017871089870207806,398.541262,0.062531478703022
30,0.06256109476089478,398.761899,0.0018023239291256729,398.761899,0.06256109476089478
31,0.062353745102882385,398.98273,0.0018175522493075321,398.98273,0.062353745102882385
32,0.06256109476089478,399.203755,0.0018363768510983505,399.203755,0.06256109476089478
33,0.06388772279024124,399.424974,0.0018555219244229028,399.424974,0.06388772279024124
34,0.06412512809038162,399.646387,0.0018746837871924133,399.646387,0.06412512809038162
35,0.06268328428268433,399.867994,0.0018938624394068875,399.867994,0.06268328428268433
36,0.06314761191606522,400.089795,0.00191415515742694,400.089795,0.06314761191606522
37,0.06250359117984772,400.311791,0.0019360802203608261,400.311791,0.06250359117984772
38,0.06244379281997681,400.533982,0.0019580245421429348,400.533982,0.06244379281997681
39,0.06237781047821045,400.756367,0.0019799880240099588,400.756367,0.06237781047821045
40,0.06245582178235054,400.978947,0.0020019707647252116,400.978947,0.06245582178235054
