# Mode: Color Science
# Date: 2026-03-13 12:06:37
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=93.06 Y=100.00 Z=49.34
# LAB: L*=100.00 a*=0.00 b*=0.00
# xy: x=0.3839 y=0.4125
Pixel,Wavelength,Intensity
0,268.942329,0.066349
1,269.439017,0.0662152
2,269.935693,0.0659238
3,270.432358,0.0663357
4,270.929011,0.0673544
5,271.425654,0.066345
6,271.922285,0.0660173
7,272.418906,0.0659489
8,272.915515,0.0655224
9,273.412113,0.0650686
10,273.9087,0.0667332
11,274.405276,0.064842
12,274.901841,0.0652828
13,275.398395,0.0668683
14,275.894938,0.0657854
15,276.391471,0.0654393
16,276.887992,0.0661004
17,277.384503,0.0675529
18,277.881003,0.066616
19,278.377492,0.0659263
20,278.87397,0.0657652
21,279.370438,0.0664473
22,279.866895,0.0670414
23,280.363342,0.0667775
24,280.859777,0.0673655
25,281.356203,0.0651256
26,281.852617,0.0647202
27,282.349021,0.0675731
28,282.845415,0.0670948
29,283.341798,0.0710434
30,283.838171,0.070985
31,284.334533,0.0703567
32,284.830885,0.0688424
33,285.327227,0.0664623
34,285.823558,0.0662957
35,286.319879,0.0672419
36,286.81619,0.0655905
37,287.312491,0.0658122
38,287.808781,0.067477
39,288.305062,0.0673489
40,288.801332,0.0667234
41,289.297592,0.0673856
42,289.793842,0.0667701
43,290.290082,0.0667353
44,290.786312,0.0638334
45,291.282532,0.0640349
46,291.778742,0.0647198
47,292.274942,0.0635546
48,292.771132,0.06265
49,293.267313,0.0650911
50,293.763483,0.0665149
51,294.259644,0.0675722
52,294.755795,0.068575
53,295.251936,0.0673783
54,295.748068,0.0666946
55,296.24419,0.0669374
56,296.740302,0.0679103
57,297.236405,0.0678893
58,297.732498,0.0673049
59,298.228582,0.0672949
60,298.724656,0.06744
61,299.22072,0.066993
62,299.716775,0.0644286
63,300.212821,0.0639179
64,300.708857,0.0642597
65,301.204884,0.0661284
66,301.700902,0.0665798
67,302.19691,0.064551
68,302.692909,0.0650681
69,303.188899,0.0678096
70,303.684879,0.0656682
71,304.18085,0.0669768
72,304.676813,0.066954
73,305.172766,0.0656994
74,305.66871,0.0688844
75,306.164645,0.0675026
76,306.66057,0.0685589
77,307.156487,0.0674614
78,307.652395,0.0671384
79,308.148294,0.0675604
80,308.644184,0.0674356
81,309.140065,0.0657677
82,309.635937,0.0653794
83,310.131801,0.0650049
84,310.627656,0.0654649
85,311.123502,0.0663758
86,311.619339,0.0668089
87,312.115167,0.0668537
88,312.610987,0.068447
89,313.106798,0.0691062
90,313.602601,0.0666437
91,314.098395,0.0670493
92,314.59418,0.0677431
93,315.089957,0.0683222
94,315.585726,0.0672315
95,316.081485,0.0674279
96,316.577237,0.0671228
97,317.07298,0.067179
98,317.568715,0.0665394
99,318.064441,0.0652316
100,318.560159,0.0660802
101,319.055869,0.067006
102,319.551571,0.0676516
103,320.047264,0.0671554
104,320.54295,0.0658602
105,321.038627,0.065552
106,321.534295,0.0651745
107,322.029956,0.0670653
108,322.525609,0.0661157
109,323.021254,0.0678752
110,323.516891,0.0680563
111,324.012519,0.0693128
112,324.50814,0.0648315
113,325.003753,0.0640442
114,325.499358,0.0661186
115,325.994955,0.0677574
116,326.490544,0.0676629
117,326.986126,0.0678676
118,327.4817,0.0662987
119,327.977266,0.0660687
120,328.472824,0.0669366
121,328.968375,0.0658762
122,329.463918,0.0642196
123,329.959453,0.0648845
124,330.454981,0.0665247
125,330.950501,0.0655996
126,331.446014,0.0664628
127,331.941519,0.0663612
128,332.437017,0.0679289
129,332.932508,0.0669033
130,333.427991,0.0660073
131,333.923466,0.0668839
132,334.418935,0.0652851
133,334.914396,0.0665103
134,335.409849,0.0683222
135,335.905296,0.0676194
136,336.400735,0.0662118
137,336.896167,0.0667545
138,337.391592,0.0662807
139,337.88701,0.065589
140,338.38242,0.0647092
141,338.877824,0.0658847
142,339.373221,0.0672787
143,339.86861,0.0656799
144,340.363993,0.0642074
145,340.859368,0.066452
146,341.354737,0.0661374
147,341.850099,0.0646939
148,342.345454,0.066268
149,342.840802,0.0669643
150,343.336144,0.0696068
151,343.831478,0.0671999
152,344.326806,0.0656367
153,344.822127,0.0676686
154,345.317442,0.0662235
155,345.81275,0.0650425
156,346.308051,0.0672159
157,346.803346,0.0659405
158,347.298634,0.0656988
159,347.793915,0.0654937
160,348.289191,0.0676496
161,348.784459,0.0662879
162,349.279721,0.0668817
163,349.774977,0.0662689
164,350.270227,0.0658023
165,350.76547,0.0656385
166,351.260707,0.0659345
167,351.755937,0.0669146
168,352.251162,0.0684429
169,352.74638,0.0679202
170,353.241592,0.0666777
171,353.736797,0.0650837
172,354.231997,0.0649462
173,354.72719,0.0662811
174,355.222378,0.067988
175,355.717559,0.0664712
176,356.212735,0.0665628
177,356.707904,0.0664712
178,357.203068,0.0667203
179,357.698225,0.0667089
180,358.193377,0.0662242
181,358.688523,0.0650522
182,359.183663,0.0660687
183,359.678797,0.065243
184,360.173925,0.0687943
185,360.669048,0.0686666
186,361.164165,0.067719
187,361.659276,0.065629
188,362.154382,0.0660802
189,362.649482,0.0659489
190,363.144577,0.0687838
191,363.639666,0.0690406
192,364.134749,0.0680771
193,364.629827,0.0666561
194,365.1249,0.0648645
195,365.619967,0.0652179
196,366.115028,0.065548
197,366.610085,0.065311
198,367.105136,0.0645655
199,367.600181,0.0660861
200,368.095222,0.0671571
201,368.590257,0.070682
202,369.085287,0.0775072
203,369.580311,0.0664546
204,370.075331,0.0662268
205,370.570345,0.0667615
206,371.065355,0.0685014
207,371.560359,0.0661919
208,372.055358,0.065776
209,372.550352,0.0662699
210,373.045342,0.0667719
211,373.540326,0.0668901
212,374.035305,0.0651911
213,374.53028,0.0649071
