# Mode: Measurement
# Date: 2026-03-13 12:28:15
# Light source: off
# Gain: 10.0
# Exposure: 10000
Pixel,Wavelength,Intensity
0,268.942329,0.0673314
1,269.439017,0.0675253
2,269.935693,0.0678107
3,270.432358,0.0676965
4,270.929011,0.0687613
5,271.425654,0.0695737
6,271.922285,0.0680217
7,272.418906,0.0675687
8,272.915515,0.0677528
9,273.412113,0.0675375
10,273.9087,0.0675773
11,274.405276,0.0669975
12,274.901841,0.0679523
13,275.398395,0.0688589
14,275.894938,0.0674052
15,276.391471,0.0664712
16,276.887992,0.0666015
17,277.384503,0.0679532
18,277.881003,0.0688607
19,278.377492,0.0671453
20,278.87397,0.0681004
21,279.370438,0.0682307
22,279.866895,0.0668342
23,280.363342,0.0672172
24,280.859777,0.0683631
25,281.356203,0.0683304
26,281.852617,0.0674487
27,282.349021,0.0676982
28,282.845415,0.0669812
29,283.341798,0.0664712
30,283.838171,0.0664712
31,284.334533,0.0684262
32,284.830885,0.0700554
33,285.327227,0.0678967
34,285.823558,0.0691153
35,286.319879,0.0664712
36,286.81619,0.0671724
37,287.312491,0.0675337
38,287.808781,0.0684599
39,288.305062,0.0694215
40,288.801332,0.0691659
41,289.297592,0.0674487
42,289.793842,0.0680485
43,290.290082,0.068915
44,290.786312,0.0677449
45,291.282532,0.0674487
46,291.778742,0.0673556
47,292.274942,0.067717
48,292.771132,0.0681316
49,293.267313,0.0675647
50,293.763483,0.0667484
51,294.259644,0.0679374
52,294.755795,0.0698382
53,295.251936,0.0698506
54,295.748068,0.0695762
55,296.24419,0.0699536
56,296.740302,0.0695899
57,297.236405,0.0689848
58,297.732498,0.0678426
59,298.228582,0.0683018
60,298.724656,0.0691865
61,299.22072,0.0699739
62,299.716775,0.0692473
63,300.212821,0.0682831
64,300.708857,0.067728
65,301.204884,0.0684262
66,301.700902,0.0678041
67,302.19691,0.0688943
68,302.692909,0.0689499
69,303.188899,0.0682278
70,303.684879,0.0677348
71,304.18085,0.0683734
72,304.676813,0.0684995
73,305.172766,0.068351
74,305.66871,0.0674942
75,306.164645,0.0684262
76,306.66057,0.0684262
77,307.156487,0.0671893
78,307.652395,0.0663664
79,308.148294,0.0672252
80,308.644184,0.0681916
81,309.140065,0.0697592
82,309.635937,0.06869
83,310.131801,0.0690313
84,310.627656,0.0675464
85,311.123502,0.0668342
86,311.619339,0.0672625
87,312.115167,0.0681962
88,312.610987,0.0696481
89,313.106798,0.069683
90,313.602601,0.0673637
91,314.098395,0.069306
92,314.59418,0.0688261
93,315.089957,0.0683925
94,315.585726,0.0682167
95,316.081485,0.0681254
96,316.577237,0.0681495
97,317.07298,0.0679523
98,317.568715,0.068334
99,318.064441,0.069683
100,318.560159,0.0697592
101,319.055869,0.0700554
102,319.551571,0.0714952
103,320.047264,0.0692408
104,320.54295,0.0705316
105,321.038627,0.0694037
106,321.534295,0.0680352
107,322.029956,0.0685658
108,322.525609,0.0687288
109,323.021254,0.0696455
110,323.516891,0.0690637
111,324.012519,0.0680478
112,324.50814,0.0679674
113,325.003753,0.0685805
114,325.499358,0.0694037
115,325.994955,0.0684526
116,326.490544,0.0705279
117,326.986126,0.0707775
118,327.4817,0.0680524
119,327.977266,0.0684805
120,328.472824,0.0698584
121,328.968375,0.0696427
122,329.463918,0.0678646
123,329.959453,0.0683687
124,330.454981,0.0681547
125,330.950501,0.0697852
126,331.446014,0.0699685
127,331.941519,0.0697797
128,332.437017,0.0679374
129,332.932508,0.0683709
130,333.427991,0.0696898
131,333.923466,0.069105
132,334.418935,0.0684751
133,334.914396,0.0685171
134,335.409849,0.0692082
135,335.905296,0.0697528
136,336.400735,0.0685024
137,336.896167,0.0684855
138,337.391592,0.0704076
139,337.88701,0.0709243
140,338.38242,0.0689526
141,338.877824,0.0667155
142,339.373221,0.0676151
143,339.86861,0.0692015
144,340.363993,0.0695485
145,340.859368,0.0684262
146,341.354737,0.068539
147,341.850099,0.0678446
148,342.345454,0.0672996
149,342.840802,0.0679275
150,343.336144,0.06813
151,343.831478,0.0671554
152,344.326806,0.0667505
153,344.822127,0.0681739
154,345.317442,0.068915
155,345.81275,0.0698048
156,346.308051,0.0684936
157,346.803346,0.0701979
158,347.298634,0.0695938
159,347.793915,0.0690779
160,348.289191,0.0693255
161,348.784459,0.0685208
162,349.279721,0.0676225
163,349.774977,0.0673856
164,350.270227,0.0676442
165,350.76547,0.0680352
166,351.260707,0.0698637
167,351.755937,0.0677745
168,352.251162,0.0672532
169,352.74638,0.0676306
170,353.241592,0.070559
171,353.736797,0.0680873
172,354.231997,0.0678172
173,354.72719,0.0679374
174,355.222378,0.0698549
175,355.717559,0.0696644
176,356.212735,0.0702416
177,356.707904,0.0685891
178,357.203068,0.0687766
179,357.698225,0.068447
180,358.193377,0.0686217
181,358.688523,0.0679651
182,359.183663,0.0676063
183,359.678797,0.0672284
184,360.173925,0.0684519
185,360.669048,0.0683457
186,361.164165,0.0676264
187,361.659276,0.0668545
188,362.154382,0.067175
189,362.649482,0.067309
190,363.144577,0.0672187
191,363.639666,0.0673629
192,364.134749,0.0668485
193,364.629827,0.0672279
194,365.1249,0.0675773
195,365.619967,0.0681429
196,366.115028,0.0679674
197,366.610085,0.0678055
198,367.105136,0.0678676
199,367.600181,0.067582
200,368.095222,0.0669056
201,368.590257,0.0674678
202,369.085287,0.0690127
203,369.580311,0.0678617
204,370.075331,0.0681063
205,370.570345,0.0692473
206,371.065355,0.0689921
207,371.560359,0.0666667
208,372.055358,0.0663734
209,372.550352,0.0664137
210,373.045342,0.0664712
211,373.540326,0.0672601
212,374.035305,0.0663945
213,374.53028,0.0666501
214,375.025249,0.0677542
215,375.520214,0.0668847
216,376.015174,0.0665658
217,376.510129,0.0671479
218,377.00508,0.0679782
219,377.500026,0.0673813
220,377.994967,0.0669731
221,378.489903,0.068367
222,378.984835,0.0700554
223,379.479763,0.0683734
