# Mode: Color Science
# Date: 2026-03-13 13:32:24
# Measurement: ILLUMINATION
# Light: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=100.01 Y=100.39 Z=100.56
# LAB: L*=100.15 a*=-0.64 b*=-0.11
# xy: x=0.3323 y=0.3336
# Swatch_1: S1 I L*=100.9 a*=-0.8 b*=1.6
# Swatch_2: S2 I L*=118.0 a*=-17.3 b*=32.3
# Swatch_3: S3 I L*=103.0 a*=-1.9 b*=6.2
Pixel,Wavelength,Measured,S1,S2,S3
0,268.942329,0.06585081666707993,0.06476838886737823,0.06433284282684326,0.06391590088605881
1,269.439017,0.06600120663642883,0.06487300992012024,0.06431911140680313,0.0640873908996582
2,269.935693,0.06635148078203201,0.0649312436580658,0.06408167630434036,0.06412822753190994
3,270.432358,0.0673782229423523,0.06555149704217911,0.06504248082637787,0.06528280675411224
4,270.929011,0.0672515332698822,0.06668420881032944,0.06661081314086914,0.06603671610355377
5,271.425654,0.06693665683269501,0.06623294204473495,0.06702212244272232,0.06987994909286499
6,271.922285,0.06422103196382523,0.06827414780855179,0.06812922656536102,0.06668063253164291
7,272.418906,0.06567984074354172,0.06496108323335648,0.06631427258253098,0.062145646661520004
8,272.915515,0.0649968683719635,0.06353860348463058,0.06736243516206741,0.06507470458745956
9,273.412113,0.06677784025669098,0.06388712674379349,0.0658961609005928,0.06373412162065506
10,273.9087,0.06508634239435196,0.06487858295440674,0.06586180627346039,0.06214216351509094
11,274.405276,0.06381014734506607,0.0669756829738617,0.06400683522224426,0.06311044096946716
12,274.901841,0.0638318732380867,0.06623337417840958,0.06563497334718704,0.06614532321691513
13,275.398395,0.06568914651870728,0.06683424115180969,0.06662154942750931,0.06932778656482697
14,275.894938,0.06640488654375076,0.06546889990568161,0.06496912986040115,0.066471166908741
15,276.391471,0.06707789748907089,0.0655660480260849,0.06526364386081696,0.0664059966802597
16,276.887992,0.06512708216905594,0.06587616354227066,0.06546687334775925,0.06476806104183197
17,277.384503,0.06559653580188751,0.06759274005889893,0.06623521447181702,0.06652002781629562
18,277.881003,0.06560926139354706,0.06516040861606598,0.06453939527273178,0.06472072750329971
19,278.377492,0.0680660605430603,0.067481629550457,0.06545374542474747,0.06458432972431183
20,278.87397,0.06684218347072601,0.0661524161696434,0.06462626159191132,0.06365865468978882
21,279.370438,0.06657015532255173,0.06611306220293045,0.06310185045003891,0.06593798100948334
22,279.866895,0.06473607569932938,0.06605452299118042,0.06566471606492996,0.06621183454990387
23,280.363342,0.06752274185419083,0.0663420632481575,0.06651104986667633,0.0649462342262268
24,280.859777,0.06517164409160614,0.06414016336202621,0.0662267804145813,0.06551282107830048
25,281.356203,0.06564915925264359,0.0638110339641571,0.06256109476089478,0.06406433135271072
26,281.852617,0.06407466530799866,0.06457363069057465,0.06537443399429321,0.06859473139047623
27,282.349021,0.0669599249958992,0.06487768888473511,0.06274356693029404,0.06530538201332092
28,282.845415,0.06239255890250206,0.06263092160224915,0.06364621967077255,0.063839390873909
29,283.341798,0.06620079278945923,0.0628448873758316,0.06616084277629852,0.06593353301286697
30,283.838171,0.06591865420341492,0.06376419961452484,0.06847568601369858,0.06667914986610413
31,284.334533,0.06603385508060455,0.06479852646589279,0.06722595542669296,0.06498534232378006
32,284.830885,0.06691397726535797,0.06481362879276276,0.06730903685092926,0.06606539338827133
33,285.327227,0.06712283939123154,0.06461553275585175,0.06502498686313629,0.06570928543806076
34,285.823558,0.06511597335338593,0.06503876298666,0.06478893011808395,0.0649956688284874
35,286.319879,0.0664801374077797,0.0655900090932846,0.06457500904798508,0.06319174915552139
36,286.81619,0.0662609413266182,0.06461725383996964,0.06451614201068878,0.06450435519218445
37,287.312491,0.06598969548940659,0.06585508584976196,0.06461963802576065,0.06323087215423584
38,287.808781,0.06351219862699509,0.06581948697566986,0.06535815447568893,0.06385141611099243
39,288.305062,0.06357549875974655,0.06607351452112198,0.06631317734718323,0.06545258313417435
40,288.801332,0.06699112057685852,0.06538739055395126,0.0667216032743454,0.06380520761013031
41,289.297592,0.06688766926527023,0.06527642160654068,0.06543698161840439,0.0643875002861023
42,289.793842,0.06710422039031982,0.06563049554824829,0.06594277173280716,0.06369713693857193
43,290.290082,0.06486112624406815,0.06475818157196045,0.06539251655340195,0.06375319510698318
44,290.786312,0.06484197080135345,0.06566552072763443,0.06433659046888351,0.0643509104847908
45,291.282532,0.06538891792297363,0.06458309292793274,0.06590908765792847,0.06547091156244278
46,291.778742,0.06444305926561356,0.06446181982755661,0.06419029831886292,0.06492605060338974
47,292.274942,0.06365710496902466,0.06605072319507599,0.06542297452688217,0.0642966702580452
48,292.771132,0.06432539224624634,0.06472960859537125,0.06500488519668579,0.06280992180109024
